Date,Total
2022-06-30,9
2022-07-01,5
2022-07-02,5
2022-07-03,6
2022-07-04,1
2022-07-05,11
2022-07-06,5
2022-07-07,20
2022-07-08,5
2022-07-09,1
2022-07-10,2
2022-07-11,5
2022-07-12,17
2022-07-13,8
2022-07-14,5
2022-07-15,9
2022-07-16,6
2022-07-17,9
2022-07-18,6
2022-07-19,12
2022-07-20,4
2022-07-21,4
2022-07-22,4
2022-07-23,4
2022-07-24,11
2022-07-25,8
2022-07-26,13
2022-07-27,7
2022-07-28,8
2022-07-29,4
2022-07-30,3
2022-07-31,8
2022-08-01,12
2022-08-02,10
2022-08-03,12
2022-08-04,17
2022-08-05,8
2022-08-06,4
2022-08-07,5
2022-08-08,7
2022-08-09,7
2022-08-10,3
2022-08-11,7
2022-08-12,2
2022-08-13,10
2022-08-14,12
2022-08-15,14
2022-08-16,11
2022-08-17,7
2022-08-18,15
2022-08-19,8
2022-08-20,10
2022-08-21,10
2022-08-22,9
2022-08-23,9
2022-08-24,14
2022-08-25,4
2022-08-26,13
2022-08-27,5
2022-08-28,9
2022-08-29,10
2022-08-30,6
2022-08-31,8
2022-09-01,13
2022-09-02,5
2022-09-03,3
2022-09-04,13
2022-09-05,12
2022-09-06,8
2022-09-07,13
2022-09-08,11
2022-09-09,4
2022-09-10,8
2022-09-11,14
2022-09-12,14
2022-09-13,6
2022-09-14,13
2022-09-15,6
2022-09-16,10
2022-09-17,11
2022-09-18,11
2022-09-19,13
2022-09-20,12
2022-09-21,15
2022-09-22,15
2022-09-23,18
2022-09-24,8
2022-09-25,12
2022-09-26,11
2022-09-27,14
2022-09-28,1
2022-09-29,18
2022-09-30,8
2022-10-01,8
2022-10-02,13
2022-10-03,16
2022-10-04,10
2022-10-05,8
2022-10-06,11
2022-10-07,13
2022-10-08,6
2022-10-09,12
2022-10-10,9
2022-10-11,26
2022-10-12,17
2022-10-13,10
2022-10-14,8
2022-10-15,8
2022-10-16,12
2022-10-17,12
2022-10-18,16
2022-10-19,11
2022-10-20,10
2022-10-21,14
2022-10-22,8
2022-10-23,9
2022-10-24,6
2022-10-25,8
2022-10-26,14
2022-10-27,11
2022-10-28,16
2022-10-29,13
2022-10-30,17
2022-10-31,5
2022-11-01,6
2022-11-02,19
2022-11-03,1
2022-11-04,2
2022-11-05,17
2022-11-06,3
2022-11-07,9
2022-11-08,14
2022-11-09,15
2022-11-10,15
2022-11-11,14
2022-11-12,13
2022-11-13,16
2022-11-14,16
2022-11-15,23
2022-11-16,24
2022-11-17,32
2022-11-18,19
2022-11-19,34
2022-11-20,37
2022-11-21,24
2022-11-22,28
2022-11-23,18
2022-11-24,23
2022-11-25,54
2022-11-26,44
2022-11-27,38
2022-11-28,42
2022-11-29,12
2022-11-30,8
2022-12-01,7
2022-12-02,10
2022-12-03,1
2022-12-04,2
2022-12-05,8
2022-12-06,4
2022-12-07,4
2022-12-08,5
2022-12-09,6
2022-12-10,5
2022-12-11,4
2022-12-12,9
2022-12-13,7
2022-12-14,10
2022-12-15,12
2022-12-16,10
2022-12-17,6
2022-12-18,11
2022-12-19,20
2022-12-20,25
2022-12-21,12
2022-12-22,3
2022-12-23,9
2022-12-24,6
2022-12-25,10
2022-12-26,11
2022-12-27,9
2022-12-28,6
2022-12-29,7
2022-12-30,5
2022-12-31,2
2023-01-01,5
2023-01-02,11
2023-01-03,10
2023-01-04,12
2023-01-05,7
2023-01-06,1
2023-01-07,8
2023-01-08,8
2023-01-09,7
2023-01-10,9
2023-01-11,7
